               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP50,metrics/mAP50-95,F1_score
0,0.07007,0.01774,0.01282,0.3566,0.4524,0.4127,0.1443,0.398827787
1,0.05629,0.01635,0.007421,0.6298,0.7061,0.751,0.2464,0.665771061
2,0.04292,0.01937,0.005186,0.6966,0.7539,0.7905,0.3729,0.724118221
3,0.03943,0.01862,0.003916,0.7456,0.8145,0.8423,0.5643,0.778528556
4,0.03562,0.01779,0.002465,0.7776,0.8004,0.844,0.5627,0.788835285
5,0.033,0.01784,0.002571,0.7826,0.8153,0.852,0.5738,0.798615408
6,0.03155,0.01742,0.002371,0.6422,0.686,0.7838,0.5276,0.663377805
7,0.02947,0.01719,0.001384,0.773,0.843,0.8513,0.5918,0.806483911
8,0.02869,0.01717,0.001653,0.64,0.6665,0.7747,0.5055,0.652981248
9,0.02777,0.01701,0.001172,0.734,0.7611,0.8177,0.5659,0.747304394
10,0.0271,0.01796,0.00111,0.771,0.8585,0.8458,0.6023,0.812400736
11,0.0262,0.01735,0.0009171,0.7841,0.8691,0.8756,0.6288,0.824414844
12,0.02559,0.01725,0.0009068,0.7922,0.8354,0.8624,0.6134,0.81322669
13,0.02492,0.0174,0.0006373,0.7912,0.8742,0.8628,0.6281,0.830631728
14,0.02458,0.01755,0.0008899,0.7866,0.8444,0.8658,0.6272,0.814475831
15,0.02418,0.01723,0.000645,0.806,0.8723,0.8854,0.6392,0.837840434
16,0.02348,0.01704,0.0005867,0.8341,0.8701,0.9012,0.6617,0.851719763
17,0.02294,0.01704,0.0005708,0.801,0.8775,0.8823,0.6501,0.837506702
18,0.02263,0.01742,0.000636,0.7892,0.8629,0.871,0.6391,0.824406126
19,0.02233,0.01704,0.0005456,0.8151,0.8656,0.8913,0.6605,0.839591313
20,0.02191,0.01693,0.000599,0.8256,0.8635,0.899,0.6645,0.8441248
21,0.02151,0.01683,0.0003854,0.8281,0.8347,0.8904,0.6656,0.831386902
22,0.021,0.01673,0.0003508,0.8367,0.8798,0.9049,0.6795,0.857708896
23,0.02089,0.01662,0.0003471,0.842,0.8738,0.9019,0.6789,0.857605315
24,0.02047,0.01629,0.0002684,0.8525,0.8818,0.9048,0.683,0.866902497
25,0.02045,0.01658,0.00029,0.8419,0.8839,0.9083,0.6815,0.862388933
26,0.02025,0.01634,0.00024,0.817,0.8608,0.8974,0.6754,0.838328287
27,0.0199,0.01614,0.0002534,0.8307,0.8928,0.908,0.6857,0.860631227
28,0.01931,0.0156,0.0002726,0.8468,0.892,0.9152,0.6955,0.868812514
29,0.01917,0.01591,0.0002177,0.8457,0.9068,0.9203,0.7072,0.87518489
30,0.01901,0.01585,0.0002142,0.8468,0.8711,0.9009,0.6904,0.858778136
31,0.01894,0.01574,0.0001612,0.8436,0.9016,0.9136,0.7027,0.871636214
32,0.01871,0.01574,0.0001504,0.847,0.8951,0.9182,0.7034,0.870385971
33,0.01866,0.01582,0.000146,0.8546,0.8826,0.9118,0.7015,0.86837435
34,0.0184,0.01562,0.0001496,0.8509,0.898,0.9194,0.7041,0.87381577
35,0.0181,0.01523,0.0001329,0.8595,0.8959,0.924,0.7134,0.877322605
36,0.01816,0.01525,0.0001122,0.8699,0.8901,0.9245,0.713,0.87988408
37,0.01768,0.015,0.0001161,0.8557,0.9053,0.9239,0.7147,0.879801488
38,0.01798,0.01518,0.0001032,0.8568,0.8987,0.927,0.7169,0.877249969
39,0.01762,0.01467,9.53E-05,0.8763,0.8872,0.927,0.7187,0.881716314
40,0.01767,0.01515,0.0001015,0.8662,0.8963,0.9283,0.7175,0.880992976
41,0.01749,0.01507,8.28E-05,0.8568,0.9058,0.9277,0.7253,0.880618904
42,0.0173,0.015,0.0001053,0.8545,0.9064,0.9256,0.7203,0.879685161
43,0.01739,0.01502,8.29E-05,0.8715,0.8904,0.9271,0.7214,0.880848629
44,0.01717,0.01478,7.97E-05,0.8733,0.8936,0.9271,0.7229,0.883333386
45,0.01721,0.01474,7.82E-05,0.8774,0.8902,0.9292,0.7261,0.883753655
46,0.01699,0.01478,7.78E-05,0.8684,0.8999,0.9284,0.7246,0.883869434
47,0.0167,0.0144,7.59E-05,0.8754,0.8944,0.9293,0.7243,0.884798011
48,0.01717,0.01454,7.04E-05,0.8592,0.9059,0.9297,0.728,0.881932219
49,0.01677,0.01432,6.78E-05,0.8706,0.8982,0.9316,0.728,0.884184668
